ticket_id,created_date,resolved_date,channel,category,priority,agent,resolution_time_hours,satisfaction_score,status
TCK-03177,2025-01-02,2025-01-02 01:00:00.000000000,Email,Technical Issue,Urgent,Agent_09,1.0,,Reopened
TCK-01873,2025-01-02,2025-01-02 09:00:00.000000000,Phone,Account Access,Medium,Agent_20,9.0,5.0,Closed
TCK-01254,2025-01-02,2025-01-02 02:33:36.000000000,Chat,Product Question,Medium,Agent_17,2.56,5.0,Resolved
TCK-00805,2025-01-02,2025-01-02 05:48:36.000000000,Phone,Complaint,Medium,Agent_16,5.81,5.0,Resolved
TCK-00806,2025-01-02,2025-01-02 05:22:12.000000000,Chat,Technical Issue,Medium,Agent_19,5.37,4.0,Resolved
TCK-02588,2025-01-02,2025-01-02 02:18:00.000000000,Email,Refund Request,Low,Agent_02,2.3,5.0,Resolved
TCK-04845,2025-01-03,2025-01-03 01:16:12.000000000,Email,Refund Request,High,Agent_20,1.27,4.0,Resolved
TCK-03359,2025-01-03,2025-01-03 01:16:48.000000000,Phone,Technical Issue,Medium,Agent_18,1.28,,Resolved
TCK-00535,2025-01-03,2025-01-03 04:08:24.000000000,Phone,Refund Request,Low,Agent_15,4.14,,Resolved
TCK-00064,2025-01-03,2025-01-03 04:11:24.000000000,Email,Product Question,High,Agent_03,4.19,,Resolved
TCK-00667,2025-01-03,2025-01-03 07:15:00.000000000,Phone,Technical Issue,Low,Agent_15,7.25,3.0,Resolved
TCK-01239,2025-01-03,2025-01-03 05:19:48.000000000,Chat,Technical Issue,Low,Agent_09,5.33,,Resolved
TCK-02361,2025-01-03,2025-01-03 07:22:12.000000000,Email,Technical Issue,Low,Agent_07,7.37,4.0,Resolved
TCK-00425,2025-01-03,2025-01-03 04:40:48.000000000,Email,Account Access,Medium,Agent_01,4.68,,Resolved
TCK-04321,2025-01-03,2025-01-03 03:13:48.000000000,Phone,Complaint,Low,Agent_10,3.23,5.0,Resolved
TCK-04015,2025-01-03,2025-01-03 05:06:00.000000000,Email,Billing,Low,Agent_13,5.1,,Resolved
TCK-04649,2025-01-03,2025-01-03 03:25:12.000000000,Phone,Technical Issue,Medium,Agent_03,3.42,,Resolved
TCK-02162,2025-01-03,2025-01-03 01:42:00.000000000,Email,Billing,High,Agent_19,1.7,5.0,Resolved
TCK-01150,2025-01-03,2025-01-03 02:55:48.000000000,Phone,Complaint,Medium,Agent_09,2.93,4.0,Resolved
TCK-04728,2025-01-04,2025-01-04 07:31:12.000000000,Email,Product Question,Low,Agent_10,7.52,3.0,Resolved
TCK-01135,2025-01-04,2025-01-04 02:03:36.000000000,Email,Technical Issue,Low,Agent_07,2.06,3.0,Resolved
TCK-00263,2025-01-04,2025-01-04 04:33:36.000000000,Phone,Account Access,Medium,Agent_16,4.56,5.0,Resolved
TCK-01030,2025-01-04,2025-01-04 01:45:36.000000000,Chat,Product Question,Low,Agent_09,1.76,,Reopened
TCK-04748,2025-01-04,2025-01-04 09:08:24.000000000,Phone,Billing,Low,Agent_10,9.14,2.0,Resolved
TCK-04091,2025-01-04,2025-01-04 04:38:24.000000000,Phone,Billing,Medium,Agent_07,4.64,5.0,Reopened
TCK-01767,2025-01-04,2025-01-04 05:02:24.000000000,Chat,Complaint,Medium,Agent_20,5.04,5.0,Reopened
TCK-02403,2025-01-04,2025-01-04 04:09:36.000000000,Email,Account Access,Medium,Agent_08,4.16,3.0,Resolved
TCK-01723,2025-01-04,2025-01-04 02:24:00.000000000,Phone,Billing,High,Agent_03,2.4,5.0,Resolved
TCK-01492,2025-01-04,2025-01-04 06:32:24.000000000,Email,Product Question,Medium,Agent_15,6.54,,Resolved
TCK-03759,2025-01-04,2025-01-04 01:51:00.000000000,Phone,Technical Issue,Medium,Agent_07,1.85,4.0,Resolved
TCK-03685,2025-01-04,2025-01-04 06:37:12.000000000,Email,Billing,Medium,Agent_03,6.62,,Resolved
TCK-00750,2025-01-05,2025-01-05 00:57:00.000000000,Email,Technical Issue,High,Agent_04,0.95,,Resolved
TCK-01642,2025-01-05,2025-01-05 03:43:48.000000000,Email,Complaint,Medium,Agent_08,3.73,4.0,Resolved
TCK-03782,2025-01-05,2025-01-05 03:00:00.000000000,Phone,Refund Request,Medium,Agent_17,3.0,4.0,Resolved
TCK-03864,2025-01-05,2025-01-05 09:18:36.000000000,Chat,Account Access,Low,Agent_02,9.31,4.0,Closed
TCK-00761,2025-01-05,2025-01-05 04:43:12.000000000,Phone,Technical Issue,Low,Agent_17,4.72,2.0,Resolved
TCK-04353,2025-01-05,2025-01-05 03:49:48.000000000,Email,Product Question,Medium,Agent_10,3.83,3.0,Resolved
TCK-04064,2025-01-06,2025-01-06 03:45:36.000000000,Email,Technical Issue,High,Agent_02,3.76,4.0,Resolved
TCK-04006,2025-01-06,2025-01-06 04:59:24.000000000,Social Media,Product Question,Medium,Agent_01,4.99,4.0,Closed
TCK-03063,2025-01-06,2025-01-06 02:34:11.999999999,Email,Account Access,Medium,Agent_16,2.57,,Resolved
TCK-03096,2025-01-06,2025-01-06 01:32:24.000000000,Email,Technical Issue,High,Agent_16,1.54,4.0,Resolved
TCK-04190,2025-01-06,2025-01-06 05:05:24.000000000,Email,Product Question,Medium,Agent_07,5.09,,Resolved
TCK-04891,2025-01-06,2025-01-06 03:09:00.000000000,Chat,Product Question,Medium,Agent_11,3.15,5.0,Resolved
TCK-00799,2025-01-06,2025-01-06 01:10:12.000000000,Email,Technical Issue,High,Agent_01,1.17,,Resolved
TCK-01081,2025-01-06,2025-01-06 07:13:12.000000000,Email,Account Access,Medium,Agent_04,7.22,4.0,Closed
TCK-00998,2025-01-06,2025-01-06 06:25:48.000000000,Email,Billing,Low,Agent_14,6.43,,Resolved
TCK-00849,2025-01-06,2025-01-06 04:24:36.000000000,Email,Technical Issue,Medium,Agent_05,4.41,3.0,Closed
TCK-00370,2025-01-06,2025-01-06 12:43:48.000000000,Email,Product Question,Medium,Agent_17,12.73,,Resolved
TCK-02935,2025-01-07,2025-01-07 02:45:36.000000000,Chat,Technical Issue,Low,Agent_17,2.76,5.0,Resolved
TCK-04465,2025-01-07,2025-01-07 03:12:00.000000000,Email,Billing,Medium,Agent_01,3.2,4.0,Resolved
TCK-04487,2025-01-07,2025-01-07 02:58:48.000000000,Chat,Technical Issue,High,Agent_01,2.98,,Closed
TCK-03858,2025-01-07,2025-01-07 05:12:36.000000000,Chat,Technical Issue,Low,Agent_19,5.21,3.0,Resolved
TCK-04077,2025-01-07,2025-01-07 08:59:24.000000000,Email,Technical Issue,Low,Agent_07,8.99,3.0,Resolved
TCK-00438,2025-01-07,2025-01-07 15:41:24.000000000,Email,Technical Issue,Medium,Agent_10,15.69,2.0,Closed
TCK-03465,2025-01-07,2025-01-07 10:27:36.000000000,Phone,Product Question,Low,Agent_03,10.46,3.0,Resolved
TCK-01612,2025-01-07,2025-01-07 03:03:36.000000000,Phone,Product Question,Urgent,Agent_14,3.06,,Resolved
TCK-01326,2025-01-07,2025-01-07 12:43:12.000000000,Phone,Account Access,Low,Agent_11,12.72,,Closed
TCK-00375,2025-01-07,2025-01-07 07:24:00.000000000,Social Media,Technical Issue,Medium,Agent_03,7.4,4.0,Resolved
TCK-03818,2025-01-07,2025-01-07 07:13:48.000000000,Email,Technical Issue,High,Agent_08,7.23,3.0,Closed
TCK-01584,2025-01-07,2025-01-07 01:55:12.000000000,Email,Product Question,Urgent,Agent_07,1.92,,Resolved
TCK-01554,2025-01-07,2025-01-07 04:36:00.000000000,Email,Product Question,Medium,Agent_06,4.6,3.0,Closed
TCK-04523,2025-01-08,2025-01-08 04:02:24.000000000,Email,Refund Request,Low,Agent_09,4.04,4.0,Resolved
TCK-02050,2025-01-08,2025-01-08 02:57:00.000000000,Phone,Account Access,Urgent,Agent_17,2.95,3.0,Resolved
TCK-02131,2025-01-08,2025-01-08 04:22:12.000000000,Chat,Complaint,Medium,Agent_09,4.37,3.0,Resolved
TCK-00500,2025-01-08,2025-01-08 11:22:12.000000000,Email,Account Access,Low,Agent_12,11.37,4.0,Resolved
TCK-00260,2025-01-08,2025-01-08 04:16:48.000000000,Email,Product Question,High,Agent_16,4.28,,Resolved
TCK-00193,2025-01-08,2025-01-08 08:13:48.000000000,Email,Technical Issue,Medium,Agent_02,8.23,,Resolved
TCK-01489,2025-01-08,2025-01-08 00:40:48.000000000,Email,Product Question,Urgent,Agent_06,0.68,4.0,Resolved
TCK-04022,2025-01-08,2025-01-08 02:55:48.000000000,Email,Billing,Medium,Agent_06,2.93,5.0,Closed
TCK-03764,2025-01-08,2025-01-08 06:28:48.000000000,Email,Billing,Medium,Agent_19,6.48,4.0,Closed
TCK-03748,2025-01-08,2025-01-08 08:09:36.000000000,Chat,Product Question,Low,Agent_10,8.16,,Resolved
TCK-04995,2025-01-08,2025-01-08 05:13:12.000000000,Phone,Account Access,Medium,Agent_10,5.22,3.0,Resolved
TCK-02672,2025-01-09,2025-01-09 02:34:11.999999999,Phone,Billing,Low,Agent_10,2.57,,Resolved
TCK-03765,2025-01-09,2025-01-09 01:32:24.000000000,Chat,Complaint,Medium,Agent_06,1.54,4.0,Closed
TCK-02221,2025-01-09,2025-01-09 06:34:11.999999999,Email,Account Access,Medium,Agent_18,6.57,,Resolved
TCK-01127,2025-01-09,2025-01-09 02:20:24.000000000,Email,Product Question,Medium,Agent_13,2.34,,Resolved
TCK-01743,2025-01-09,2025-01-09 04:42:36.000000000,Email,Product Question,Low,Agent_09,4.71,4.0,Resolved
TCK-02098,2025-01-09,2025-01-09 05:39:36.000000000,Phone,Billing,Medium,Agent_17,5.66,3.0,Closed
TCK-00232,2025-01-09,2025-01-09 10:41:24.000000000,Phone,Technical Issue,Low,Agent_14,10.69,2.0,Resolved
TCK-00329,2025-01-09,2025-01-09 07:11:24.000000000,Chat,Technical Issue,Low,Agent_13,7.19,3.0,Reopened
TCK-03079,2025-01-09,2025-01-09 03:04:12.000000000,Phone,Billing,Medium,Agent_18,3.07,4.0,Resolved
TCK-03269,2025-01-09,2025-01-09 03:58:48.000000000,Chat,Billing,Medium,Agent_20,3.98,,Resolved
TCK-00130,2025-01-09,2025-01-09 15:26:24.000000000,Chat,Product Question,Medium,Agent_04,15.44,3.0,Closed
TCK-00781,2025-01-09,2025-01-09 01:00:00.000000000,Chat,Product Question,Medium,Agent_08,1.0,5.0,Resolved
TCK-03402,2025-01-09,2025-01-09 03:21:36.000000000,Email,Product Question,Medium,Agent_05,3.36,5.0,Resolved
TCK-01704,2025-01-09,2025-01-09 01:20:24.000000000,Email,Product Question,Urgent,Agent_05,1.34,5.0,Closed
TCK-03907,2025-01-09,2025-01-09 12:19:12.000000000,Email,Complaint,Low,Agent_09,12.32,2.0,Resolved
TCK-04036,2025-01-09,2025-01-09 04:19:12.000000000,Email,Technical Issue,Low,Agent_06,4.32,5.0,Resolved
TCK-04660,2025-01-09,2025-01-09 02:40:48.000000000,Email,Technical Issue,Low,Agent_15,2.68,,Closed
TCK-02370,2025-01-10,2025-01-10 05:33:36.000000000,Social Media,Complaint,Medium,Agent_03,5.56,4.0,Resolved
TCK-03957,2025-01-10,2025-01-10 02:39:36.000000000,Chat,Billing,High,Agent_14,2.66,,Resolved
TCK-02429,2025-01-10,2025-01-10 04:19:48.000000000,Phone,Account Access,High,Agent_17,4.33,5.0,Closed
TCK-02596,2025-01-10,2025-01-10 01:44:24.000000000,Chat,Technical Issue,Medium,Agent_02,1.74,5.0,Closed
TCK-00389,2025-01-10,2025-01-10 11:31:12.000000000,Chat,Account Access,Low,Agent_06,11.52,,Closed
TCK-00414,2025-01-10,2025-01-10 02:30:36.000000000,Chat,Billing,Medium,Agent_05,2.51,3.0,Closed
TCK-02289,2025-01-10,2025-01-10 05:10:48.000000000,Email,Technical Issue,Medium,Agent_16,5.18,4.0,Closed
TCK-04873,2025-01-10,2025-01-10 04:18:00.000000000,Email,Product Question,Medium,Agent_11,4.3,,Resolved
TCK-04220,2025-01-10,2025-01-10 01:27:00.000000000,Email,Product Question,High,Agent_16,1.45,4.0,Resolved
TCK-01140,2025-01-10,2025-01-10 03:30:36.000000000,Email,Technical Issue,Low,Agent_08,3.51,4.0,Closed
TCK-02183,2025-01-10,2025-01-10 02:07:48.000000000,Email,Refund Request,Medium,Agent_06,2.13,4.0,Resolved
TCK-03446,2025-01-10,2025-01-10 08:36:00.000000000,Email,Billing,High,Agent_15,8.6,3.0,Resolved
TCK-01359,2025-01-10,2025-01-10 02:06:00.000000000,Email,Billing,High,Agent_19,2.1,,Reopened
TCK-04605,2025-01-10,2025-01-10 07:09:00.000000000,Email,Refund Request,Low,Agent_13,7.15,,Resolved
TCK-04675,2025-01-11,2025-01-11 05:51:36.000000000,Chat,Technical Issue,Low,Agent_15,5.86,4.0,Closed
TCK-03497,2025-01-11,2025-01-11 04:09:36.000000000,Email,Account Access,Low,Agent_07,4.16,,Resolved
TCK-00790,2025-01-11,2025-01-11 07:36:36.000000000,Email,Refund Request,Low,Agent_10,7.61,,Closed
TCK-01453,2025-01-11,2025-01-11 06:08:24.000000000,Phone,Complaint,Low,Agent_01,6.14,4.0,Resolved
TCK-01904,2025-01-11,2025-01-11 00:59:24.000000000,Email,Technical Issue,High,Agent_16,0.99,4.0,Resolved
TCK-04495,2025-01-11,2025-01-11 04:44:24.000000000,Email,Technical Issue,High,Agent_15,4.74,,Resolved
TCK-01260,2025-01-11,2025-01-11 03:15:36.000000000,Social Media,Technical Issue,Medium,Agent_18,3.26,,Resolved
TCK-01550,2025-01-11,2025-01-11 07:57:36.000000000,Email,Technical Issue,Medium,Agent_20,7.96,3.0,Resolved
TCK-02911,2025-01-12,2025-01-12 01:32:24.000000000,Email,Billing,High,Agent_01,1.54,4.0,Resolved
TCK-03642,2025-01-12,2025-01-12 18:18:00.000000000,Phone,Product Question,Low,Agent_14,18.3,1.0,Resolved
TCK-02223,2025-01-12,2025-01-12 02:24:36.000000000,Chat,Account Access,High,Agent_09,2.41,5.0,Resolved
TCK-04491,2025-01-12,2025-01-12 06:41:24.000000000,Email,Refund Request,Low,Agent_08,6.69,4.0,Reopened
TCK-01496,2025-01-12,2025-01-12 02:50:24.000000000,Phone,Complaint,Medium,Agent_09,2.84,4.0,Resolved
TCK-00747,2025-01-12,2025-01-12 03:44:24.000000000,Email,Refund Request,Medium,Agent_03,3.74,5.0,Resolved
TCK-02459,2025-01-12,2025-01-12 01:53:24.000000000,Chat,Billing,High,Agent_06,1.89,5.0,Resolved
TCK-04204,2025-01-12,2025-01-12 04:51:36.000000000,Email,Technical Issue,Low,Agent_15,4.86,4.0,Reopened
TCK-04120,2025-01-12,2025-01-12 02:22:48.000000000,Email,Refund Request,Medium,Agent_06,2.38,3.0,Closed
TCK-03418,2025-01-12,2025-01-12 02:36:00.000000000,Email,Account Access,Medium,Agent_15,2.6,3.0,Resolved
TCK-00098,2025-01-12,2025-01-12 08:25:48.000000000,Chat,Product Question,Medium,Agent_03,8.43,5.0,Resolved
TCK-02519,2025-01-12,2025-01-12 03:54:36.000000000,Chat,Account Access,Medium,Agent_14,3.91,,Closed
TCK-03996,2025-01-12,2025-01-12 06:44:24.000000000,Phone,Technical Issue,Medium,Agent_04,6.74,3.0,Resolved
TCK-01829,2025-01-12,2025-01-12 01:19:48.000000000,Phone,Product Question,Urgent,Agent_18,1.33,5.0,Closed
TCK-00345,2025-01-12,2025-01-12 02:46:12.000000000,Email,Product Question,Medium,Agent_03,2.77,5.0,Resolved
TCK-04602,2025-01-12,2025-01-12 09:36:36.000000000,Email,Product Question,Low,Agent_19,9.61,,Resolved
TCK-03963,2025-01-13,2025-01-13 08:58:12.000000000,Chat,Billing,Medium,Agent_03,8.97,3.0,Resolved
TCK-02282,2025-01-13,2025-01-13 03:21:36.000000000,Email,Account Access,Medium,Agent_12,3.36,5.0,Closed
TCK-02826,2025-01-13,2025-01-13 02:22:12.000000000,Email,Complaint,Urgent,Agent_12,2.37,5.0,Closed
TCK-03280,2025-01-13,2025-01-13 05:06:36.000000000,Email,Complaint,High,Agent_10,5.11,5.0,Resolved
TCK-04235,2025-01-13,2025-01-13 04:46:48.000000000,Email,Product Question,Medium,Agent_05,4.78,3.0,Resolved
TCK-00623,2025-01-13,2025-01-13 13:00:36.000000000,Social Media,Technical Issue,Low,Agent_02,13.01,,Resolved
TCK-00107,2025-01-13,2025-01-13 10:40:12.000000000,Phone,Refund Request,Medium,Agent_15,10.67,4.0,Resolved
TCK-01643,2025-01-13,2025-01-13 03:17:23.999999999,Chat,Product Question,High,Agent_01,3.29,,Resolved
TCK-04264,2025-01-13,2025-01-13 03:22:12.000000000,Email,Product Question,Low,Agent_06,3.37,,Resolved
TCK-04962,2025-01-13,2025-01-13 12:40:48.000000000,Chat,Account Access,Low,Agent_15,12.68,,Closed
TCK-04905,2025-01-14,2025-01-14 08:03:36.000000000,Phone,Technical Issue,High,Agent_09,8.06,2.0,Reopened
TCK-00804,2025-01-14,2025-01-14 01:28:12.000000000,Chat,Refund Request,Urgent,Agent_19,1.47,4.0,Resolved
TCK-01406,2025-01-14,2025-01-14 09:21:00.000000000,Phone,Technical Issue,Medium,Agent_03,9.35,,Resolved
TCK-03715,2025-01-14,2025-01-14 01:27:00.000000000,Email,Product Question,Urgent,Agent_20,1.45,4.0,Resolved
TCK-02724,2025-01-14,2025-01-14 04:07:48.000000000,Email,Technical Issue,Urgent,Agent_13,4.13,3.0,Resolved
TCK-04259,2025-01-14,2025-01-14 09:07:12.000000000,Email,Technical Issue,Medium,Agent_20,9.12,3.0,Resolved
TCK-01869,2025-01-14,2025-01-14 09:33:36.000000000,Phone,Technical Issue,Low,Agent_17,9.56,2.0,Closed
TCK-01226,2025-01-14,2025-01-14 01:56:24.000000000,Phone,Technical Issue,High,Agent_04,1.94,,Resolved
TCK-03505,2025-01-14,2025-01-14 02:50:24.000000000,Chat,Technical Issue,Urgent,Agent_07,2.84,3.0,Closed
TCK-00077,2025-01-14,2025-01-14 02:40:12.000000000,Email,Technical Issue,Urgent,Agent_14,2.67,4.0,Resolved
TCK-04929,2025-01-14,2025-01-14 03:40:48.000000000,Phone,Complaint,Medium,Agent_12,3.68,5.0,Resolved
TCK-04512,2025-01-14,2025-01-14 07:50:24.000000000,Email,Account Access,Low,Agent_04,7.84,5.0,Resolved
TCK-00288,2025-01-14,2025-01-14 03:47:24.000000000,Phone,Technical Issue,High,Agent_15,3.79,,Resolved
TCK-03593,2025-01-14,2025-01-14 01:03:36.000000000,Email,Billing,High,Agent_16,1.06,,Resolved
TCK-00930,2025-01-14,2025-01-14 05:16:48.000000000,Chat,Product Question,Low,Unknown,5.28,3.0,Resolved
TCK-04711,2025-01-15,2025-01-15 03:52:48.000000000,Email,Account Access,Low,Agent_06,3.88,3.0,Resolved
TCK-03200,2025-01-15,2025-01-15 01:28:48.000000000,Email,Account Access,Medium,Agent_06,1.48,5.0,Resolved
TCK-01200,2025-01-15,2025-01-15 11:46:48.000000000,Phone,Billing,Low,Agent_15,11.78,4.0,Resolved
TCK-01998,2025-01-15,2025-01-15 20:34:47.999999999,Email,Technical Issue,Low,Agent_14,20.58,,Resolved
TCK-04154,2025-01-15,2025-01-15 01:10:12.000000000,Email,Product Question,Medium,Agent_10,1.17,5.0,Resolved
TCK-02841,2025-01-15,2025-01-15 02:52:48.000000000,Phone,Complaint,High,Agent_06,2.88,4.0,Resolved
TCK-02590,2025-01-15,2025-01-15 03:30:00.000000000,Chat,Technical Issue,High,Agent_12,3.5,3.0,Closed
TCK-02163,2025-01-15,2025-01-15 03:01:48.000000000,Chat,Refund Request,High,Agent_10,3.03,5.0,Resolved
TCK-04196,2025-01-15,2025-01-15 07:09:36.000000000,Chat,Complaint,Low,Agent_09,7.16,3.0,Closed
TCK-02732,2025-01-15,2025-01-15 04:29:24.000000000,Email,Refund Request,Low,Agent_15,4.49,,Resolved
TCK-00830,2025-01-15,2025-01-15 01:48:00.000000000,Email,Billing,Medium,Agent_05,1.8,,Resolved
TCK-01412,2025-01-15,2025-01-15 01:29:24.000000000,Phone,Technical Issue,Medium,Agent_16,1.49,,Resolved
TCK-04418,2025-01-15,2025-01-15 14:58:48.000000000,Phone,Refund Request,Medium,Agent_01,14.98,,Resolved
TCK-04552,2025-01-15,2025-01-15 04:04:12.000000000,Email,Billing,Low,Agent_04,4.07,,Resolved
TCK-02688,2025-01-15,2025-01-15 04:13:12.000000000,Chat,Technical Issue,High,Agent_18,4.22,,Closed
TCK-04052,2025-01-16,2025-01-16 03:30:00.000000000,Phone,Refund Request,Medium,Agent_18,3.5,4.0,Resolved
TCK-04149,2025-01-16,2025-01-16 03:15:00.000000000,Email,Technical Issue,Medium,Agent_19,3.25,,Resolved
TCK-00210,2025-01-16,2025-01-16 09:03:36.000000000,Chat,Billing,Medium,Agent_20,9.06,3.0,Resolved
TCK-00016,2025-01-16,2025-01-16 00:33:00.000000000,Phone,Refund Request,Urgent,Agent_18,0.55,,Resolved
TCK-01831,2025-01-16,2025-01-16 10:09:00.000000000,Email,Product Question,Low,Agent_20,10.15,2.0,Closed
TCK-04280,2025-01-16,2025-01-16 04:57:36.000000000,Email,Technical Issue,Medium,Agent_03,4.96,,Resolved
TCK-00862,2025-01-16,2025-01-16 04:48:00.000000000,Chat,Account Access,Medium,Agent_20,4.8,,Resolved
TCK-02299,2025-01-16,2025-01-16 04:22:12.000000000,Phone,Technical Issue,Medium,Agent_01,4.37,4.0,Resolved
TCK-00777,2025-01-16,2025-01-16 02:30:00.000000000,Chat,Product Question,Medium,Agent_08,2.5,3.0,Resolved
TCK-00522,2025-01-16,2025-01-16 02:07:12.000000000,Chat,Technical Issue,Medium,Agent_05,2.12,4.0,Resolved
TCK-04556,2025-01-16,2025-01-16 07:24:36.000000000,Phone,Refund Request,Medium,Agent_04,7.41,4.0,Resolved
TCK-01059,2025-01-16,2025-01-16 01:59:24.000000000,Phone,Account Access,High,Agent_11,1.99,3.0,Resolved
TCK-00979,2025-01-16,2025-01-16 09:42:00.000000000,Email,Account Access,Low,Agent_13,9.7,,Resolved
TCK-03840,2025-01-16,2025-01-16 00:52:12.000000000,Phone,Billing,High,Agent_05,0.87,5.0,Closed
TCK-00771,2025-01-17,2025-01-17 01:24:36.000000000,Email,Product Question,High,Agent_17,1.41,,Resolved
TCK-02973,2025-01-17,2025-01-17 01:46:12.000000000,Email,Refund Request,High,Agent_11,1.77,4.0,Resolved
TCK-04229,2025-01-17,2025-01-17 05:00:36.000000000,Phone,Technical Issue,Medium,Agent_08,5.01,3.0,Resolved
TCK-01766,2025-01-17,2025-01-17 09:25:12.000000000,Email,Billing,Low,Agent_03,9.42,4.0,Resolved
TCK-04511,2025-01-17,2025-01-17 02:53:24.000000000,Email,Billing,Medium,Agent_10,2.89,,Resolved
TCK-04736,2025-01-17,2025-01-17 02:38:24.000000000,Email,Complaint,Medium,Agent_13,2.64,,Resolved
TCK-03831,2025-01-17,2025-01-17 05:29:24.000000000,Chat,Billing,Low,Agent_07,5.49,,Closed
TCK-01070,2025-01-17,2025-01-17 04:04:48.000000000,Email,Account Access,Medium,Agent_03,4.08,,Closed
TCK-02331,2025-01-17,2025-01-17 04:59:24.000000000,Email,Technical Issue,Medium,Agent_14,4.99,3.0,Resolved
TCK-04087,2025-01-17,2025-01-17 00:57:00.000000000,Chat,Account Access,Urgent,Agent_05,0.95,4.0,Closed
TCK-03323,2025-01-17,2025-01-17 04:25:48.000000000,Email,Technical Issue,Medium,Agent_17,4.43,,Closed
TCK-02740,2025-01-17,2025-01-17 08:34:47.999999999,Email,Complaint,Low,Agent_16,8.58,3.0,Resolved
TCK-02482,2025-01-17,2025-01-17 08:53:24.000000000,Phone,Product Question,Low,Agent_11,8.89,2.0,Resolved
TCK-03812,2025-01-17,2025-01-17 08:01:12.000000000,Social Media,Refund Request,Medium,Agent_02,8.02,,Resolved
TCK-00357,2025-01-17,2025-01-17 13:46:12.000000000,Email,Account Access,High,Agent_17,13.77,2.0,Closed
TCK-00312,2025-01-17,2025-01-17 02:46:12.000000000,Phone,Product Question,Medium,Agent_07,2.77,5.0,Resolved
TCK-01478,2025-01-18,2025-01-18 01:18:36.000000000,Phone,Technical Issue,Medium,Agent_07,1.31,,Resolved
TCK-04730,2025-01-18,2025-01-18 01:16:48.000000000,Phone,Technical Issue,High,Agent_07,1.28,4.0,Resolved
TCK-00534,2025-01-18,2025-01-18 04:16:48.000000000,Chat,Product Question,Medium,Agent_08,4.28,4.0,Resolved
TCK-01423,2025-01-18,2025-01-18 01:49:48.000000000,Email,Billing,Medium,Agent_04,1.83,5.0,Resolved
TCK-01486,2025-01-18,2025-01-18 02:48:00.000000000,Email,Product Question,High,Agent_13,2.8,,Resolved
TCK-04289,2025-01-18,2025-01-18 03:34:11.999999999,Email,Billing,Medium,Agent_10,3.57,4.0,Resolved
